GOSECSBJ,KISMODE,KISLEVEL,GOSECLQ_UK,GOSECMED_UK,GOSECUQ_UK,GOSECPOP_UK,GOSECLQ_E,GOSECMED_E,GOSECUQ_E,GOSECPOP_E,GOSECLQ_NI,GOSECMED_NI,GOSECUQ_NI,GOSECPOP_NI,GOSECLQ_S,GOSECMED_S,GOSECUQ_S,GOSECPOP_S,GOSECLQ_W,GOSECMED_W,GOSECUQ_W,GOSECPOP_W
CAH01,01,03,33000,37000,43000,8675,33000,37000,42000,7050,30000,38000,50000,260,35000,40000,49000,955,30000,36000,42000,385
CAH01,02,03,26000,34000,47000,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH01,02,04,35000,38500,46000,90,35000,38500,46000,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH01-01,01,03,33000,37000,43000,8675,33000,37000,42000,7050,30000,38000,50000,260,35000,40000,49000,955,30000,36000,42000,385
CAH01-01,02,03,26000,34000,47000,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH01-01,02,04,35000,38500,46000,90,35000,38500,46000,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH01-01-01,01,03,24000,28000,32000,105,24000,29000,34000,95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH01-01-02,01,03,33000,37000,42000,7870,33000,37000,42000,6400,30000,40000,50000,245,35000,40000,50000,865,30000,35500,40000,335
CAH01-01-03,01,03,28000,28500,30000,115,28000,28500,29500,105,NA,NA,NA,NA,30000,30000,30000,10,NA,NA,NA,NA
CAH01-01-03,02,04,35000,38500,46000,90,35000,38500,46000,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH01-01-04,01,03,36500,40000,50000,585,37000,41000,50000,455,30000,31000,35000,15,35000,40000,45500,80,36500,40000,62500,40
CAH02,01,03,27000,28000,30000,36300,27000,28000,30000,29515,25000,27000,28500,1300,26500,30000,31000,3245,27000,28000,29000,2210
CAH02,01,04,25000,28000,34500,1045,24000,27000,30000,805,NA,NA,NA,NA,32000,38000,42000,195,25000,26000,27000,40
CAH02,02,03,28000,32000,40500,2845,28000,33000,42000,2275,25000,27000,32000,205,30000,33000,42000,210,28000,29000,32000,145
CAH02,02,04,28000,34500,40000,1095,29000,35000,42000,785,27500,37000,44000,55,30000,36500,38000,125,25000,28000,34000,125
CAH02-02,01,03,26000,35000,39000,2075,25500,35000,38000,1675,33000,35000,40500,85,26000,37000,42000,235,28500,35500,36000,85
CAH02-02,02,03,24000,26000,33000,30,23500,26000,33000,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH02-02,02,04,42000,44000,45000,40,40000,44000,45000,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH02-02-01,01,03,24000,27000,30000,500,24000,27000,31000,390,NA,NA,NA,NA,24000,26000,30000,85,23000,26500,30000,25
CAH02-02-03,01,03,30000,35500,40500,1565,28500,35500,40000,1275,34000,35000,42000,80,37000,38000,45000,150,35000,36000,36500,60
CAH02-02-03,02,03,24000,26000,40000,25,24000,26000,40000,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH02-02-03,02,04,42000,44000,45000,35,40000,43500,45000,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH02-04,01,03,27000,28000,30000,18595,27000,28000,30000,14700,25000,27000,28000,675,26500,30000,30000,1980,27000,28000,29000,1235
CAH02-04,01,04,25000,28000,32000,225,25000,28000,33000,190,NA,NA,NA,NA,28000,30000,30000,25,NA,NA,NA,NA
CAH02-04,02,03,28000,31000,39500,1810,28000,32000,40000,1325,26000,27000,32000,185,30000,35000,42000,165,28000,29000,32000,120
CAH02-04,02,04,31000,35500,41000,665,32500,35500,43000,450,33000,38000,42000,45,35000,37000,38000,90,24000,26000,33000,80
CAH02-04-01,01,03,27500,28000,30500,645,28000,28500,34000,420,NA,NA,NA,NA,NA,NA,NA,NA,27000,28000,29000,220
CAH02-04-01,01,04,25000,26000,30000,90,23000,26000,28500,65,NA,NA,NA,NA,28000,30000,30000,25,NA,NA,NA,NA
CAH02-04-01,02,03,32000,39000,45000,690,34000,40000,46000,490,26000,29500,39000,85,32000,39000,46000,90,29000,32000,38000,25
CAH02-04-01,02,04,30000,35500,42000,365,33000,37000,43500,235,33000,38000,45000,30,34000,37000,41000,40,22000,25000,26000,55
CAH02-04-02,01,03,27000,28000,30000,9775,27000,28000,29000,7475,25000,27000,28000,470,26500,30000,30000,1210,27000,28000,29000,615
CAH02-04-02,02,03,26000,28000,30000,620,26000,28000,28500,445,25000,27000,27000,65,29000,30000,33000,50,27000,28000,30000,60
CAH02-04-02,02,04,34000,42000,50000,35,35000,44000,50000,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH02-04-03,01,03,34500,37500,43000,165,34000,37500,43000,155,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH02-04-03,01,04,35000,35000,37000,25,33500,35500,37000,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH02-04-03,02,03,35000,40000,42000,30,36000,40000,41500,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH02-04-03,02,04,33000,36500,37500,85,31000,35500,37000,45,NA,NA,NA,NA,35000,37000,37500,25,35000,37000,40000,10
CAH02-04-04,01,03,27000,28500,33500,2380,27000,28500,33500,2060,25000,26000,27000,50,27000,30000,32500,145,27000,30000,35000,120
CAH02-04-04,02,03,28000,32000,35000,80,28000,32000,35000,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH02-04-04,02,04,38000,45000,47000,15,45000,46000,52000,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH02-04-05,01,03,27000,28000,28500,2100,27000,28000,28500,1745,25000,27000,27000,50,26000,28000,30000,200,27000,28000,28000,105
CAH02-04-05,02,03,26000,28000,29000,60,26000,28000,28500,55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH02-04-06,01,03,45000,50000,60000,20,40000,50000,58000,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH02-04-06,01,04,25000,30000,40000,15,25000,28000,40000,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH02-04-07,01,03,28000,28500,33000,3050,28000,28500,33500,2490,25500,27000,28500,60,27000,30000,32000,335,27000,28000,30000,160
CAH02-04-07,01,04,27000,28500,30000,75,27000,28500,30000,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH02-04-07,02,03,27000,28500,33500,195,27000,28500,35000,115,25000,27000,30000,35,28000,30000,33500,20,27000,28500,32000,25
CAH02-04-07,02,04,28000,33000,37000,25,24000,28500,34000,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH02-04-08,01,03,27000,28500,31000,415,27000,28500,33000,295,25000,27000,28000,30,26500,30000,30000,80,28000,32000,36000,10
CAH02-04-09,01,03,28000,28500,32000,45,28000,28500,32000,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH02-04-09,02,03,35000,38000,46000,125,35000,39000,45000,115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH02-04-09,02,04,33000,35000,38000,145,32500,35000,38000,110,34000,37000,41000,10,37000,37500,38000,10,31000,33000,34000,10
CAH02-05,01,03,24000,28000,30000,6025,24000,28000,30000,5135,24000,27000,28000,235,24500,28000,31000,405,26000,28000,29000,245
CAH02-05,01,04,24000,28500,32000,30,24000,27500,32000,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH02-05,02,03,24000,28000,32500,240,23000,27000,33000,205,21500,22500,27000,10,30000,31000,37000,20,NA,NA,NA,NA
CAH02-05,02,04,26000,28000,33000,80,26000,29000,38000,55,NA,NA,NA,NA,26000,27000,30000,10,NA,NA,NA,NA
CAH02-05-01,01,03,28000,28500,30000,1495,28000,28500,32000,1185,26000,27000,28500,75,30000,30000,31000,115,28000,28500,29000,120
CAH02-05-01,02,03,28000,28500,30000,20,28000,28500,30000,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH02-05-01,02,04,26000,26000,27500,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH02-05-02,01,03,28000,28500,32000,180,28000,29000,32000,155,NA,NA,NA,NA,NA,NA,NA,NA,27000,28000,28500,20
CAH02-05-02,01,04,24000,30000,40000,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH02-05-02,02,03,36000,40000,45000,25,36000,40000,45000,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH02-05-02,02,04,27000,38000,43000,25,38000,42000,44000,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH02-05-03,01,03,23000,25500,29500,3850,23000,25500,30000,3400,23500,26000,28000,130,23500,25500,30000,240,23000,25500,29500,75
CAH02-05-03,02,03,23000,26000,30000,180,23000,26000,29000,155,21500,22500,27000,10,NA,NA,NA,NA,NA,NA,NA,NA
CAH02-05-03,02,04,25500,27500,32500,45,24000,28000,33000,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH02-05-04,01,03,23000,27000,30000,500,23000,27000,31500,395,20000,26000,28000,25,23000,25500,30000,50,26000,28000,29000,30
CAH02-05-04,02,03,30000,31000,39000,20,NA,NA,NA,NA,NA,NA,NA,NA,30000,31000,39000,15,NA,NA,NA,NA
CAH02-06,01,03,27000,28500,30000,9605,27000,28500,30000,8010,26000,27000,28500,310,30000,30000,32500,630,28000,28000,29000,650
CAH02-06,01,04,25000,27500,35000,790,24000,27000,30000,600,NA,NA,NA,NA,36000,39000,42000,155,25000,27000,27000,30
CAH02-06,02,03,28500,37000,46000,765,28500,37000,46000,720,26500,35000,50000,10,25000,37000,55000,20,27000,35000,45000,15
CAH02-06,02,04,25000,29500,36000,305,25000,29500,35500,240,NA,NA,NA,NA,24500,25000,35000,25,28000,31000,38000,35
CAH02-06-01,01,03,27000,28500,30000,3180,27000,28500,29500,2780,27000,28000,28500,45,30000,30000,37000,200,28000,28000,29000,160
CAH02-06-01,01,04,25000,28000,36000,680,24000,27000,30000,505,NA,NA,NA,NA,37000,40000,44000,145,25500,27000,27000,25
CAH02-06-01,02,03,33000,42000,50000,510,33000,42000,50000,475,26500,35000,50000,10,33000,55000,60000,10,27000,37000,45000,15
CAH02-06-01,02,04,27000,28500,35000,110,27000,30000,34000,80,NA,NA,NA,NA,NA,NA,NA,NA,27000,29000,38500,20
CAH02-06-02,01,03,25000,28000,30000,750,25000,28000,30000,605,25000,26000,28000,45,26000,30000,30000,60,28000,28000,31000,40
CAH02-06-02,02,03,25000,28000,30000,35,25000,28000,30000,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH02-06-03,01,03,21000,24000,36000,745,21000,24000,35000,615,20000,25000,32500,10,23000,30000,39500,65,21000,25000,37000,55
CAH02-06-03,01,04,22000,23000,24000,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH02-06-03,02,03,20000,23000,28000,15,20000,28000,28000,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH02-06-03,02,04,24500,26000,30000,35,24000,25000,29500,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH02-06-04,01,03,24500,30000,37500,230,23000,29000,35000,145,26000,28500,38000,40,35000,40000,41500,15,30500,33000,39000,25
CAH02-06-04,02,03,30000,40000,45000,35,30000,40000,45000,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH02-06-05,01,03,28000,28500,30000,2525,28000,28500,29500,2115,26000,27000,28000,90,30000,30000,30500,140,28000,28000,29000,175
CAH02-06-05,02,03,25000,28000,32000,45,27000,28000,32000,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH02-06-06,01,03,27500,29500,34500,345,27000,29000,35000,250,23000,27500,30000,10,30000,30000,31000,50,28000,29000,34500,35
CAH02-06-06,01,04,24000,25000,28000,25,22500,25000,26000,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH02-06-06,02,03,26000,30000,38000,30,26000,30000,38000,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH02-06-07,01,03,27000,28500,30000,1835,27000,28500,30000,1500,26500,27000,28000,65,30000,30000,32000,105,28000,28000,29000,165
CAH02-06-07,01,04,21500,25000,28500,70,21500,25000,29000,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH02-06-07,02,03,28000,30000,35000,100,28000,30000,35000,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH02-06-07,02,04,25000,30000,38000,150,25000,30000,38000,115,NA,NA,NA,NA,25000,30000,53000,15,30000,34000,38000,15
CAH03,01,03,23000,25500,30000,11660,23000,25500,30000,10010,21500,25000,28500,270,22500,25500,29000,880,22000,24500,28000,475
CAH03,01,04,18000,23000,25000,365,18000,23000,25000,345,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH03,02,03,24000,27000,32000,530,24000,27000,32000,475,25000,30000,30000,15,22500,26500,28000,30,23500,26000,32000,10
CAH03,02,04,25000,30000,40000,35,23500,30000,42000,20,NA,NA,NA,NA,20000,30000,36000,10,NA,NA,NA,NA
CAH03-01,01,03,23000,26000,30000,6510,23000,26000,30000,5605,23000,26000,29000,140,23000,25500,29000,520,22000,25000,28000,230
CAH03-01,01,04,20000,23000,25000,90,20000,23000,25500,85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH03-01,02,03,23000,25500,30000,180,23000,25500,30000,155,NA,NA,NA,NA,22500,26500,32500,20,NA,NA,NA,NA
CAH03-01,02,04,27000,30000,42000,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH03-01-01,01,03,23500,26500,30000,1330,23500,26500,30000,1110,21500,27000,30000,60,22500,25500,30000,75,24000,26000,30000,85
CAH03-01-01,02,03,24000,29000,35000,65,25000,29000,35000,55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH03-01-02,01,03,23000,26000,30000,1510,23000,26000,30000,1395,18000,23000,28000,15,23000,25500,30000,55,22000,24000,27000,40
CAH03-01-02,02,03,24000,25000,27000,45,24000,25000,27000,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH03-01-03,01,03,22000,24500,28000,735,22000,24500,28000,605,23500,24000,25000,10,23500,27000,29000,75,21000,23500,26500,35
CAH03-01-03,01,04,20000,23000,25000,45,21000,23000,25000,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH03-01-03,02,03,25500,26000,32500,10,23500,26000,32500,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH03-01-04,01,03,23000,25500,29000,285,23000,25000,29000,180,23000,26000,30000,20,23500,26000,29000,90,NA,NA,NA,NA
CAH03-01-05,01,03,26000,28000,30000,25,27500,30000,30000,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH03-01-06,01,03,21500,24000,26000,805,21000,24000,26000,660,22000,23500,28000,15,21500,23500,26500,100,20000,24000,26000,30
CAH03-01-06,01,04,20000,23000,24000,35,20000,23000,26000,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH03-01-06,02,03,19000,24000,25000,15,19000,24000,25000,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH03-01-07,01,03,23500,27000,30000,155,23500,28000,30000,135,NA,NA,NA,NA,25000,25500,27000,15,NA,NA,NA,NA
CAH03-01-08,01,03,24000,28000,32000,1420,24000,28000,32000,1300,27000,28500,30000,20,24000,27000,32000,70,24500,25500,27500,30
CAH03-01-08,02,03,23000,25000,29000,35,23000,25000,29000,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH03-01-10,01,03,23000,27000,30000,240,23500,27000,30500,195,NA,NA,NA,NA,22000,26000,29500,40,NA,NA,NA,NA
CAH03-02,01,03,22000,25000,30000,5150,22000,25000,30000,4410,19000,24000,26500,130,22000,25000,29000,360,21000,24000,29000,245
CAH03-02,01,04,17500,22000,25000,270,17500,22000,25000,260,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH03-02,02,03,24000,28000,32000,350,24000,28000,32000,315,25000,30000,30000,15,20500,26000,27000,10,NA,NA,NA,NA
CAH03-02,02,04,23500,30000,36000,20,23500,30000,42000,10,NA,NA,NA,NA,20000,30000,36000,10,NA,NA,NA,NA
CAH03-02-01,01,03,22000,25000,30000,5150,22000,25000,30000,4410,19000,24000,26500,130,22000,25000,29000,360,21000,24000,29000,245
CAH03-02-01,01,04,17500,22000,25000,270,17500,22000,25000,260,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH03-02-01,02,03,24000,28000,32000,350,24000,28000,32000,315,25000,30000,30000,15,20500,26000,27000,10,NA,NA,NA,NA
CAH03-02-01,02,04,23500,30000,36000,20,23500,30000,42000,10,NA,NA,NA,NA,20000,30000,36000,10,NA,NA,NA,NA
CAH04,01,03,22000,25000,28000,10475,22000,25000,28000,9340,19000,23000,25000,175,22000,24000,28000,560,22000,24000,26000,380
CAH04,01,04,24000,26000,29000,40,24000,27000,29000,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH04,02,03,24000,27000,33000,975,24000,27000,33000,790,20000,25000,31000,20,25000,30000,37000,100,24000,26000,30000,65
CAH04,02,04,23000,28000,34500,120,23000,28000,33000,105,NA,NA,NA,NA,23500,26000,30000,15,NA,NA,NA,NA
CAH04-01,01,03,22000,25000,28000,10475,22000,25000,28000,9340,19000,23000,25000,175,22000,24000,28000,560,22000,24000,26000,380
CAH04-01,01,04,24000,26000,29000,40,24000,27000,29000,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH04-01,02,03,24000,27000,33000,975,24000,27000,33000,790,20000,25000,31000,20,25000,30000,37000,100,24000,26000,30000,65
CAH04-01,02,04,23000,28000,34500,120,23000,28000,33000,105,NA,NA,NA,NA,23500,26000,30000,15,NA,NA,NA,NA
CAH04-01-01,01,03,22000,25000,28000,9005,22000,25000,28000,8045,19000,23000,25000,165,22000,24000,28000,475,21500,23500,26000,305
CAH04-01-01,01,04,17500,22000,29000,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH04-01-01,02,03,24000,27000,33000,915,24000,27000,33000,735,21000,27000,31000,20,25000,30000,37000,95,24000,26000,30000,65
CAH04-01-01,02,04,23000,27500,33000,105,23000,26500,32000,85,NA,NA,NA,NA,23500,26000,30000,15,NA,NA,NA,NA
CAH04-01-02,01,03,22500,25000,28000,950,22500,25000,28000,800,NA,NA,NA,NA,24000,25000,28000,70,23500,25000,27000,70
CAH04-01-02,01,04,22000,26000,27000,10,22000,26000,27000,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH04-01-02,02,03,19000,22500,28000,45,19000,25000,28000,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH04-01-03,01,03,21000,24000,28000,200,21000,24000,28000,190,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH04-01-04,01,03,22000,24500,27000,185,22000,24500,27000,175,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH04-01-04,01,04,26000,28000,29000,20,26000,28000,29000,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH04-01-05,01,03,23000,26000,30000,140,23000,26000,30000,135,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH05,01,03,30000,34000,37000,1625,30000,34000,37000,1325,34000,36000,39000,50,27000,33000,34500,165,33000,34000,37000,80
CAH05,01,04,24500,26000,28000,210,24500,26000,28000,195,NA,NA,NA,NA,NA,NA,NA,NA,24000,25000,25000,15
CAH05,02,03,26000,30000,32000,50,27000,30000,32000,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH05,02,04,26000,29000,33500,30,26000,29000,32000,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH05-01,01,03,30000,34000,37000,1625,30000,34000,37000,1325,34000,36000,39000,50,27000,33000,34500,165,33000,34000,37000,80
CAH05-01,01,04,24500,26000,28000,210,24500,26000,28000,195,NA,NA,NA,NA,NA,NA,NA,NA,24000,25000,25000,15
CAH05-01,02,03,26000,30000,32000,50,27000,30000,32000,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH05-01,02,04,26000,29000,33500,30,26000,29000,32000,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH05-01-01,01,03,33000,35000,37000,1270,33000,35000,37500,1035,35000,36000,39000,40,32500,34000,36000,115,33000,34000,37000,75
CAH05-01-02,01,03,24000,26000,28000,355,24000,26500,28500,290,NA,NA,NA,NA,24000,25000,26500,50,NA,NA,NA,NA
CAH05-01-02,01,04,24000,26000,28000,210,24500,26000,28000,195,NA,NA,NA,NA,NA,NA,NA,NA,24000,25000,25000,15
CAH05-01-02,02,03,26000,30000,32000,50,28000,30000,32000,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH05-01-02,02,04,28000,29500,34000,25,28000,29500,33500,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH06,01,03,23000,26000,30000,2155,23000,26000,30000,1760,24000,28000,30000,85,24000,26000,30000,205,21500,24000,27000,95
CAH06,01,04,20000,24000,28000,525,20000,25000,28000,440,NA,NA,NA,NA,20000,23500,28000,70,16000,19000,24000,20
CAH06,02,03,21000,26000,30000,60,21500,27000,31000,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH06,02,04,25500,30000,37000,110,24000,30000,37500,60,NA,NA,NA,NA,29000,32000,39500,45,NA,NA,NA,NA
CAH06-01,01,03,23000,26000,30000,2155,23000,26000,30000,1760,24000,28000,30000,85,24000,26000,30000,205,21500,24000,27000,95
CAH06-01,01,04,20000,24000,28000,525,20000,25000,28000,440,NA,NA,NA,NA,20000,23500,28000,70,16000,19000,24000,20
CAH06-01,02,03,21000,26000,30000,60,21500,27000,31000,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH06-01,02,04,25500,30000,37000,110,24000,30000,37500,60,NA,NA,NA,NA,29000,32000,39500,45,NA,NA,NA,NA
CAH06-01-01,01,03,21000,24000,27000,855,21000,24000,27000,785,NA,NA,NA,NA,22000,23500,25500,30,20000,22000,24000,30
CAH06-01-01,01,04,20000,23000,25000,65,20000,24000,25000,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH06-01-01,02,03,18000,25000,29000,25,18000,23000,30000,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH06-01-01,02,04,23000,24000,35000,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH06-01-02,01,03,24000,26000,28500,20,24000,26000,28500,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH06-01-03,01,03,24500,27000,30000,845,25000,27500,31000,665,23000,28000,30000,45,24000,26000,30000,90,23000,25000,28000,45
CAH06-01-03,01,04,20000,24000,28000,250,20000,24000,28000,195,NA,NA,NA,NA,20000,23000,27000,50,NA,NA,NA,NA
CAH06-01-03,02,03,25000,26000,31000,25,25000,27000,30000,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH06-01-03,02,04,25500,30000,37500,55,23000,28000,37500,20,NA,NA,NA,NA,29000,32000,40000,30,NA,NA,NA,NA
CAH06-01-04,01,03,23500,25000,28000,45,22500,25000,26500,25,NA,NA,NA,NA,24000,27000,30500,15,NA,NA,NA,NA
CAH06-01-04,01,04,20000,24000,28000,35,15000,24000,27000,25,NA,NA,NA,NA,20000,22500,29500,15,NA,NA,NA,NA
CAH06-01-05,01,03,24000,27500,32500,30,24000,27500,32500,15,NA,NA,NA,NA,25500,27000,28000,10,NA,NA,NA,NA
CAH06-01-05,01,04,26000,28000,35000,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH06-01-05,02,04,29000,30000,36000,15,NA,NA,NA,NA,NA,NA,NA,NA,28500,30000,36000,10,NA,NA,NA,NA
CAH06-01-06,01,03,24000,28000,31500,85,25000,30000,31500,30,24000,30000,30000,15,23000,27500,32000,40,NA,NA,NA,NA
CAH06-01-06,01,04,27500,32000,35000,55,27500,32000,35000,55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH06-01-06,02,04,27000,34000,50000,15,27000,34000,50000,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH06-01-07,01,03,25000,28000,30000,210,25000,28000,30000,175,25500,28500,30000,10,23000,27000,28000,15,23000,27000,30500,10
CAH06-01-07,01,04,16000,24000,26000,30,16000,24000,26000,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH06-01-08,01,03,25000,28000,32000,55,25000,28000,32000,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH06-01-08,01,04,16000,22000,28000,70,16000,22000,27500,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH06-01-08,02,04,28000,30000,39000,10,29000,30000,39000,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH07,01,03,25000,29500,34000,6845,25000,30000,34000,6045,24000,28000,30000,90,25000,28500,32000,490,24000,27000,30000,205
CAH07,01,04,15000,23000,24500,15,15000,23000,23500,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH07,02,03,24000,29500,35000,290,24000,29500,35000,240,NA,NA,NA,NA,23500,32000,40000,25,24000,28000,32000,15
CAH07,02,04,31000,42000,48000,65,31000,43000,51000,55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH07-01,01,03,27500,31500,35500,2695,28000,32000,36000,2370,24000,28500,30500,50,26000,30000,35000,210,23000,28000,30000,60
CAH07-01,02,03,27000,32000,36000,60,28000,32000,40000,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH07-01-01,01,03,27500,31500,35500,2395,28000,32000,36000,2120,24000,28500,30500,50,26000,30000,35000,170,23000,28000,30000,55
CAH07-01-01,02,03,27000,31000,36000,55,28000,32000,36000,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH07-01-02,01,03,26000,30000,35000,300,26000,30000,35000,250,NA,NA,NA,NA,25500,30000,35000,40,NA,NA,NA,NA
CAH07-02,01,03,25000,29000,33000,2480,25000,29000,33000,2190,25000,27000,30500,30,24500,28000,31500,170,24000,28000,31000,80
CAH07-02,02,03,24000,27500,33000,50,24000,27000,33000,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
